wikidata,department_label,commune_label
Q228488,Lot-et-Garonne,La Sauvetat-sur-Lède
Q189187,Aude,Lespinassière
Q272546,Yvelines,Saint-Martin-la-Garenne
Q189871,Hérault,Rieussec
Q128223,Morbihan,Port-Louis
Q228419,Calvados,Asnelles
Q272645,Allier,Trézelles
Q241619,Seine-et-Marne,Everly
Q272763,Allier,Saint-Pont
Q228782,Meurthe-et-Moselle,Ceintrey
Q241634,Gard,Laudun-l'Ardoise
Q189831,Hérault,Saint-Jean-de-Cornies
Q128219,Yonne,Lasson
Q242092,Cantal,Salins
Q189748,Vosges,Dompierre
Q128158,Morbihan,Plougoumelen
Q128174,Morbihan,Saint-Jacut-les-Pins
Q228779,Meuse,Baulny
Q228682,Yonne,Bléneau
Q242225,Puy-de-Dôme,Bertignat
Q128155,Yonne,Sennevoy-le-Bas
Q272528,Gironde,Pauillac
Q272755,Yvelines,Maulette
Q242191,Seine-et-Marne,Montereau-Fault-Yonne
Q272832,Haute-Loire,Ferrussac
Q189715,Hauts-de-Seine,Courbevoie
Q189500,Vosges,Uriménil
Q189824,Vosges,Bonvillet
Q228794,Meurthe-et-Moselle,Malavillers
Q228794,Moselle,Malavillers
Q272802,Allier,Treban
Q189591,Gironde,Auros
Q241940,Ardennes,Givet
Q272616,Yvelines,Chavenay
Q128241,Morbihan,La Roche-Bernard
Q241640,Hérault,Camplong
Q189878,Hérault,Puilacher
Q228858,Meurthe-et-Moselle,Villers-le-Rond
Q229001,Meurthe-et-Moselle,Bouillonville
Q228786,Meurthe-et-Moselle,Chambley-Bussières
Q272897,Haut-Rhin,Eguisheim
Q228910,Meurthe-et-Moselle,Croismare
Q128249,Yonne,Stigny
Q128311,Morbihan,Péaule
Q242088,Haute-Loire,Fay-sur-Lignon
Q128248,Morbihan,Tréhorenteuc
Q242168,Haute-Loire,Roche-en-Régnier
Q272765,Puy-de-Dôme,Pardines
Q128287,Morbihan,Sérent
Q128317,Morbihan,Réminiac
Q128366,Yonne,Saint-Loup-d'Ordon
Q242279,Puy-de-Dôme,Charbonnier-les-Mines
Q272934,Yvelines,Nézel
Q189983,Pyrénées-Orientales,Llupia
Q128329,Yonne,Sainte-Colombe
Q189957,Pyrénées-Orientales,Bouleternère
Q128289,Yonne,Sormery
Q242391,Cantal,Védrines-Saint-Loup
Q128378,Morbihan,Saint-Dolay
Q242386,Cantal,Raulhac
Q242354,Seine-et-Marne,Courtacon
Q272916,Seine-et-Marne,Chelles
Q242282,Puy-de-Dôme,Bergonne
Q229051,Meuse,Bazincourt-sur-Saulx
Q189866,Hérault,Montoulieu
Q242229,Seine-et-Marne,Nantouillet
Q228791,Meurthe-et-Moselle,Mars-la-Tour
Q128259,Morbihan,Rochefort-en-Terre
Q229027,Meurthe-et-Moselle,Chazelles-sur-Albe
Q190092,Pyrénées-Orientales,Railleu
Q242303,Cantal,Saint-Amandin
Q190045,Pyrénées-Orientales,Caudiès-de-Conflent
